Dataset_ID,Tag_ID
1378,45812
1378,45813
1378,45814
1378,45815
1676,45815
1865,45815
2468,45815
2494,45815
2736,45815
3031,45815
3498,45815
7328,45815
7677,45815
7839,45815
8068,45815
8625,45815
9275,45815
9308,45815
9329,45815
9826,45815
1378,45816
1469,45816
1604,45816
1698,45816
2226,45816
2269,45816
2829,45816
2928,45816
3006,45816
7843,45816
8339,45816
8421,45816
8688,45816
8810,45816
8886,45816
9035,45816
9200,45816
9287,45816
9683,45816
1378,45817
1379,45818
1707,45818
2589,45818
7995,45818
1379,45819
2589,45819
1379,45820
2589,45820
1379,45821
1415,45821
1561,45821
1614,45821
1623,45821
1625,45821
1657,45821
1951,45821
2138,45821
2214,45821
2589,45821
2878,45821
3498,45821
3557,45821
7872,45821
8710,45821
9395,45821
9481,45821
1379,45822
1415,45822
2589,45822
2831,45822
3276,45822
1379,45823
2589,45823
1379,45824
2589,45824
1379,45825
1707,45825
2589,45825
8438,45825
1379,45826
1520,45826
1707,45826
2367,45826
2589,45826
8572,45826
8837,45826
1379,45827
1520,45827
1707,45827
2367,45827
2589,45827
7995,45827
8572,45827
8837,45827
1379,45828
1520,45828
1707,45828
2367,45828
2589,45828
7995,45828
8572,45828
8837,45828
1379,45829
1625,45829
1657,45829
1707,45829
2340,45829
2589,45829
3329,45829
7873,45829
1379,45830
1498,45830
1543,45830
1561,45830
1565,45830
1570,45830
1625,45830
1671,45830
1738,45830
1741,45830
1745,45830
1795,45830
1816,45830
1879,45830
1896,45830
1901,45830
1954,45830
2014,45830
2068,45830
2082,45830
2131,45830
2161,45830
2178,45830
2188,45830
2200,45830
2244,45830
2303,45830
2340,45830
2418,45830
2434,45830
2463,45830
2504,45830
2521,45830
2531,45830
2540,45830
2589,45830
2608,45830
2685,45830
2686,45830
2726,45830
2729,45830
2853,45830
2948,45830
2960,45830
2975,45830
2980,45830
2984,45830
2999,45830
3005,45830
3065,45830
3179,45830
3208,45830
3261,45830
3279,45830
3351,45830
3360,45830
3367,45830
3376,45830
3463,45830
3545,45830
3561,45830
7286,45830
7311,45830
7365,45830
7487,45830
7549,45830
7596,45830
7607,45830
7699,45830
7741,45830
7766,45830
7877,45830
7977,45830
8025,45830
8047,45830
8069,45830
8095,45830
8195,45830
8344,45830
8395,45830
8403,45830
