Tag_ID,Tag_Name
45812,exim
45813,export-import-bank
45814,guarantee
45815,insurance
45816,loan
45817,working-capital
45818,bev
45819,bevs
45820,bolt
45821,car
45822,cars
45823,chevrolet
45824,chevy
45825,clean-energy
45826,department-of-licensing
45827,dol
45828,dol_open_data
45829,electric
45830,energy
45831,environment
45832,ev
45833,evs
45834,green-report
45835,hybrid
45836,hybrids
45837,leaf
45838,model-3
45839,nhtsa
45840,nissan
45841,phev
45842,phevs
45843,plug-in
45844,plug-ins
45845,population
45846,rao_ev
45847,rao_open_data
45848,rao_veh
45849,tesla
45850,vehicle
45851,vehicles
45852,volt
45853,climate-change
45854,ghg-reporting
45855,industry-ghgs
45856,scope-3
45857,useeio
45858,nps-gov-subject-site-social-science
45859,public-use-statistics
45860,statistics
45861,visitation
45862,visitation-statistics
45863,visitor-use
45864,visitor-use-statistics
45865,civil-rights
45866,discrimination
45867,elementary-and-secondary
45868,enrollment-demographics
45869,language
45870,minority-groups
45871,office-for-civil-rights-ocr
45872,race
45873,student-retention
45874,students
45875,crime
45876,incident
45877,nypd
45878,shooting
45879,crime-data
45880,crimes
45881,lapd
45882,police
45883,safe-city
45884,minority
45885,ocr
45886,student-enrollment
45887,threats-and-hazards
45888,alcohol
45889,arthritis
45890,asthma
45891,cancer
45892,copd
45893,diabetes
45894,tobacco
45895,big-apps
45896,bigapps
45897,collisions
45898,nycopendata
45899,traffic-data
45900,vision
45901,visionzero
45902,zero
45903,arizona
45904,arrests
45905,demographics
45906,enforcement
45907,officer
45908,public-safety
45909,tempe
45910,1998
45911,1999
45912,2000
45913,2001
45914,2002
45915,2003
45916,2004
45917,2005
45918,2006
45919,2007
45920,2008
45921,2009
45922,2010
45923,2011
45924,2012
45925,2013
45926,2014
45927,2015
45928,2016
45929,2017
45930,2018
45931,2019
45932,2020
45933,2021
45934,2022
45935,2023
45936,2024
45937,baby-names
45938,births
45939,social-security
45940,social-security-administration
45941,social-security-cards
45942,ssa
45943,covid
45944,covid-19
45945,covid-net
45946,covid19
45947,covidnet
45948,hospitalization-rate
45949,hospitalizations
45950,rate
45951,rates-by-age-group
45952,rates-by-race-and-ethnicity
45953,resp-net
45954,respiratory-disease
45955,respiratory-illness
45956,respiratory-virus-response
45957,respnet
45958,surveillance
45959,business-name
45960,company-name
45961,organization-name
45962,liquor
45963,sale
45964,advanced-placement
45965,course-taking
45966,data
45967,education-of-children-with-disabilities
45968,evaluation
45969,performance
45970,policy-analysis
45971,trend-analysis
45972,bullying
45973,crdc
45974,harassment
45975,arrest
45976,law-enforcement
45977,new-york-lottery
45978,powerball
45979,results
45980,winning
45981,public-transit
45982,septa
45983,transportation
45984,agricultural-economics
45985,food-costs
45986,contact
45987,food
45988,free-summer-meals
45989,meals
45990,nutrition
45991,sfsp
45992,site
45993,sso
45994,summer
45995,tda
45996,texas-department-of-agriculture
45997,519e6cdf-3011-4b75-9e12-34a45cb17fd8
45998,education-of-students-with-disabilities
45999,elementary-and-secondary-education
46000,graduation-testing
46001,mental-retardation
46002,schools
46003,sex-discrimination
46004,special-education-services
46005,student-discipline
46006,student-pregnancy
46007,incidents
46008,bus
46009,customers
46010,fare-evasion
46011,fare-evasion-rate
46012,metrocard
46013,mta-bus
46014,mtabc
46015,new-york-city-transit
46016,nyct
46017,omny
46018,passengers
46019,quarterly
46020,ridership
46021,alabama
46022,alaska
46023,american samoa
46024,arkansas
46025,california
46026,canada
46027,chesapeake bay
46028,chesapeake bay watershed
46029,colorado
46030,connecticut
46031,delaware
46032,florida
46033,georgia
46034,hawaii
46035,health
46036,human
46037,idaho
46038,illinois
46039,indiana
46040,iowa
46041,kansas
46042,kentucky
46043,land
46044,louisiana
46045,maine
46046,maryland
46047,massachusetts
46048,mexico
46049,michigan
46050,minnesota
46051,mississippi
46052,missouri
46053,montana
46054,nebraska
46055,nevada
46056,new hampshire
46057,new jersey
46058,new mexico
46059,new york
46060,north carolina
46061,north dakota
46062,ohio
46063,oklahoma
46064,oregon
46065,pennsylvania
46066,puerto rico
46067,recreation
46068,rhode island
46069,south carolina
46070,south dakota
46071,tennessee
46072,texas
46073,united states
46074,utah
46075,vermont
46076,virginia
46077,washington
46078,washington dc
46079,west virginia
46080,wisconsin
46081,wyoming
46082,children-with-disabilities
46083,disability
46084,buses
46085,containers
46086,inbound-border-crossing-entries
46087,pedestrians
46088,personal-vehicles
46089,ports
46090,trains
46091,trucks
46092,assessment
46093,kindergarten
46094,ospi
46095,reportcard
46096,wakids
46097,adults
46098,brfss
46099,dnpao
46100,fruit
46101,obesity
46102,overweight
46103,physical-activity
46104,vegetables
46105,walking
46106,imagery-theme
46107,national-geospatial-data-asset
46108,ngda
46109,ngda-imagery-theme
46110,ngdaid106
46111,north-america
46112,state
46113,united-states
46114,us
46115,monthly-transportation-statistics
46116,consumer-health
46117,data-distribution
46118,dataset
46119,environmental-health
46120,toxicology
46121,air-bag
46122,air-bags
46123,auto
46124,campaign
46125,car-seat
46126,child-safety-seats
46127,child-seat
46128,defect
46129,email
46130,equipment
46131,fmvss
46132,http-safercar-gov
46133,office-of-defect-investigations
46134,potential-affected
46135,recall
46136,recalls
46137,safety
46138,tire
46139,tires
46140,vin
46141,vin-search
46142,2006)
46143,and texas tornadoes and severe weather (may 2010)
46144,arizona severe weather (october 2010)
46145,arizona wildfires (summer-fall 2011)
46146,arkansas river flooding (june 2019)
46147,blizzard/floods (january 1996)
46148,california and alaska wildfires (summer-fall 2019)
46149,california firestorm (summer-fall 2017)
46150,california firestorm (summer-fall 2018)
46151,california flooding (february 2017)
46152,california flooding (january-march 1995)
46153,california flooding and severe weather (january 2021)
46154,california freeze (december 1990)
46155,california freeze (december 1998)
46156,california freeze (january 2007)
46157,california wildfires (fall 1993)
46158,california wildfires (fall 2003)
46159,central
46160,central and eastern severe weather (may 2018)
46161,central and eastern severe weather (may 2020)
46162,central and eastern tornadoes and severe weather (july 2018)
46163,central and eastern winter storm
46164,central and eastern winter storm (january 1999)
46165,central and eastern winter storm (january 2018)
46166,central and eastern winter storm (mid-january 1999)
46167,central and northeast severe weather (january 2008)
46168,central and northeast severe weather (june 2015)
46169,central and northeast tornadoes and severe weather (may 2019)
46170,central and northeastern severe weather (may 2018)
46171,central severe storms (july 2021)
46172,central severe weather (april 2014)
46173,central severe weather (july 2020)
46174,central severe weather (may 2019)
46175,central severe weather (october 2006)
46176,central severe weather - derecho (august 2020)
46177,central tornadoes and severe weather (may 2009)
46178,central/eastern drought/heatwave (summer-fall 1980)
46179,central/southeast tornado outbreak (march 2017)
46180,cold wave (december 1983)
46181,cold wave (december 1989)
46182,cold wave (february 2015)
46183,cold wave (january 1982)
46184,cold wave (january 1985)
46185,cold wave (january 1994)
46186,colorado flooding (september 2013)
46187,colorado hail storm (july 1990)
46188,colorado hail storm (july 2009)
46189,colorado hail storm (june 2018)
46190,colorado hail storm and central severe weather (may 2017)
46191,colorado hail storms (july 2019)
46192,consumer price index (cpi)
46193,contiguous united states
46194,death
46195,disaster
46196,drought
46197,east and northeast severe weather (february 2020)
46198,east coast blizzard and severe weather (march 1993)
46199,east/south flooding and severe weather (may 2010)
46200,east/south severe weather and flooding (april 2007)
46201,eastern drought/heatwave (summer 1999)
46202,eastern severe weather (march 2021)
46203,eastern tornadoes and severe storms (november 2002)
46204,eastern winter storm and cold wave (february 2021)
46205,flash floods
46206,flooding
46207,floods (spring 1984)
46208,florida freeze (december 1989)
46209,florida freeze (january 1981)
